id_tmdb;titulo_tmdb;titulo_original_tmdb;sinopse;data_lancamento;generos;orcamento;receita;popularidade;media_votos;total_votos;idioma_original;paises_producao;empresas_producao;duracao_min;diretores;elenco_principal;tagline;ano_lancamento;eh_brasileiro
59990;O Pagador de Promessas;O Pagador de Promessas;Zé do Burro e sua esposa Rosa vivem em uma pequena propriedade rural próxima de Salvador. Um dia, o burro de estimação de Zé é atingido por um raio e ele acaba indo a um terreiro de candomblé, onde faz uma promessa para salvar o animal. Com o restabelecimento do bicho, Zé põe-se a cumprir a promessa e doa metade de seu sítio, para depois começar uma caminhada rumo a Salvador, carregando nas costas uma imensa cruz de madeira. Mas a via crucis de Zé ainda se torna mais angustiante ao ver Rosa se envolver com o cafetão Bonitão e ao ser impedido por Padre Olavo de entrar em sua igreja, pela razão de Zé ter feito sua promessa em um terreiro.;1962-04-17;['Drama'];0;0;0.765;8.1;111;pt;['BR'];['Cinedistri'];92;[];[];;1962;True
43001;Sempre aos Domingos;Cybèle ou les dimanches de ville d'Avray;Sofrendo de amnésia, um ex-combatente vive atormentado por ter matado uma criança na guerra. Sua vida começa a mudar quando encontra uma menina abandonada pelo próprio pai e passa a se encontrar todo domingo com ela para brincar e, ao mesmo tempo, tentar lembrar de seu passado. Aos poucos, a relação entre os dois começa a ser mal interpretada, até mesmo pelos amigos de Pierre.;1962-11-12;['Drama'];0;0;0.3094;7.1;61;fr;['AT', 'FR'];['Fidès Film', 'Les Films Trocadero', 'Orsay Films'];110;[];[];;1962;False
47447;Electra, A Vingadora;Ηλέκτρα;;1962-05-25;['Ação', 'História', 'Drama'];0;0;0.4855;7.083;30;el;['GR'];['Finos Film'];110;[];[];;1962;False
194163;Tlayucan;Tlayucan;Desesperado pela doença do filho, o camponês Eufemio rouba uma pérola da imagem de Santa Lucía na igreja do povoado. Alguns turistas testemunham e fotografam o roubo e Eufemio fica a ponto de ser linchado por seus vizinhos.;1962-12-27;['Comédia', 'Drama'];0;0;0.3725;6.4;13;es;['MX'];['Producciones Matouk'];105;[];[];;1962;False
67617;O Quatrilho;O Quatrilho;Rio Grande do Sul, 1910. Em uma comunidade rural composta por imigrantes italianos, dois casais muito amigos se unem para poder sobreviver e decidem morar na mesma casa. Mas o tempo faz com que a esposa (Patricia Pillar) de um (Alexandre Paternost) se interesse pelo marido (Bruno Campos) da outra (Glória Pires), sendo correspondida. Após algum tempo, os dois amantes decidem fugir e recomeçar outra vida, deixando para trás seus parceiros, que viverão uma experiência dramática e constrangedora, mas nem por isto desprovida de romance.;1995-10-20;['Drama', 'Romance'];0;0;0.3186;6.3;45;pt;['BR'];['LC Barreto', 'Filmes do Equador'];92;[];[];Um jogo de fascínio e sedução.;1995;True
880;A Excêntrica Família de Antônia;Antonia;Definido como uma celebração da vida e da morte, esta coprodução entre Holanda, Bélgica e Inglaterra ganhadora do Oscar de Melhor Filme Estrangeiro vai além ao contar a história de uma encantadora geração de mulheres. Comandada por Antonia, a saga familiar atravessa três gerações, falando de força, de beleza e de escolhas que desafiam o tempo. Nesse universo conhecemos curiosos personagens, como o filósofo pessimista, a netinha superdotada, a filha lésbica, a avó louca, o padre herege, a amiga que adora procriar, a vizinha que sofre abusos sexuais e os muitos amigos que são acolhidos por sua generosidade.;1995-09-21;['Drama', 'Comédia'];900000;0;0.8945;7.035;129;nl;['NL', 'GB', 'BE'];['Bergen Film', 'Bard Entertainments', 'NPS Televisie'];102;[];[];;1995;False
27098;Lust och fägring stor;Lust och fägring stor;;1995-03-08;['Drama', 'Romance', 'Guerra'];0;0;5.6616;6.377;151;sv;['DK', 'SE'];['Per Holst Filmproduktion', 'Det Danske Filminstitut', 'Nordisk Film & TV Fond', 'Svenska Filminstitutet', 'Egmont Film', 'TV 2', 'SVT Drama'];125;[];[];;1995;False
124617;Poussières de vie;Poussières de vie;;1995-01-18;['Drama'];0;0;0.1262;7.0;7;fr;['DZ', 'FR', 'DE'];['Hamster Productions', 'La Sept Cinéma', 'Paradise Film'];87;[];[];;1995;False
37975;O Homem das Estrelas;L'uomo delle stelle;;1995-09-21;['Drama', 'Romance'];0;0;0.4991;7.086;186;it;['IT'];['Cecchi Gori Group Tiger Cinematografica'];113;[];[];;1995;False
21253;O Que é Isso, Companheiro?;O Que é Isso, Companheiro?;O jornalista Fernando e seu amigo César abraçam a luta armada contra a ditadura militar no final da década de 60. Os dois se alistam num grupo guerrilheiro de esquerda. Em uma das ações do grupo militante, César é ferido e capturado pelos militares. Fernando então planeja o sequestro do embaixador dos Estados Unidos no Brasil, Charles Burke Elbrick, para negociar a liberdade de César e de outros companheiros presos.;1997-10-01;['Thriller', 'Drama', 'História'];0;310724;0.6904;7.5;121;pt;['BR'];['Miramax', 'Columbia TriStar'];110;[];[];Seu objetivo: liberdade. A sua única esperança: um incidente internacional. O alvo deles: o embaixador americano.;1997;True
17139;Caráter;Karakter;Rotterdam, 1920. Um jovem advogado é preso, acusado da morte de um político importante. Ao defender sua inocência perante a polícia, ele conta a história de sua vida, revelando ser o filho bastardo do morto, um homem cruel que sempre o perseguiu. Baseado num clássico da literatura holandesa, cujo estilo remete a Charles Dickens e Franz Kafka.;1997-04-17;['História', 'Drama'];4500000;0;0.6503;7.338;102;nl;['BE', 'NL'];['First Floor Features', 'Almerica Films'];122;[];[];;1997;False
312;Jenseits der Stille;Jenseits der Stille;;1996-12-18;['Drama', 'Música'];0;0;0.4491;6.896;72;de;['DE'];['Roxy Film', 'BR'];109;[];[];;1996;False
92603;Secretos del corazón;Secretos del corazón;;1997-03-19;['Drama'];1727000;0;0.2162;6.5;36;es;['FR', 'PT', 'ES'];['Aiete Films S.A.', 'Ariane Films', 'Canal+', 'Eurimages', 'Euskal Média S.A.', 'Fábrica de Imagens', 'Sogepaq', 'DMVB Films'];105;[];[];;1997;False
46187;Вор;Вор;;1997-08-31;['Drama', 'Crime'];2000000;1126506;0.6572;7.089;95;ru;['RU', 'FR'];['Canal+', 'CNC', 'Productions Le Pont', 'Roissy Films', 'Russian State Committee for Cinematography', 'Profit'];96;[];[];;1997;False
666;Central do Brasil;Central do Brasil;Dora escreve cartas para analfabetos na estação Central do Brasil. Uma das clientes de Dora é Ana, que vem escrever uma carta com o seu filho, Josué, um garoto de nove anos, que sonha encontrar o pai que nunca conheceu. Na saída da estação, Ana é atropelada e Josué fica abandonado. Mesmo a contragosto, Dora acaba acolhendo o menino e envolvendo-se com ele. Termina por levar Josué para o interior do Nordeste, à procura do pai. À medida em que vão entrando país adentro, esses dois personagens, tão diferentes, vão se aproximando... Começa então uma viagem fascinate ao coração do Brasil, à procura do pai desaparecido, e uma viagem profundamente emotiva ao coração de cada um dos personagens do filme.;1998-04-03;['Drama'];2900000;5596708;1.8629;8.139;957;pt;['BR', 'FR'];['MACT Productions', 'Riofilm', 'VideoFilmes'];110;[];[];;1998;True
637;A Vida é Bela;La vita è bella;Durante a Segunda Guerra Mundial na Itália, o judeu Guido e seu filho Giosué são levados para um campo de concentração nazista. Afastado da mulher, ele tem que usar sua imaginação para fazer o menino acreditar que estão participando de uma grande brincadeira, com o intuito de protegê-lo do terror e da violência que os cercam.;1997-12-20;['Comédia', 'Drama'];20000000;230098753;10.9029;8.448;13376;it;['IT'];['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica'];116;[];[];Uma fábula inesquecível que prova que o amor, a família e a imaginação conquistam tudo.;1997;False
69851;El abuelo;El abuelo;;1998-10-16;['Drama'];0;4179698;0.2868;6.4;36;es;['ES'];['TVE'];151;[];[];;1998;False
21334;Filhos do Paraíso;بچه‌های آسمان;Ali é um menino de 9 anos proveniente de uma família humilde e que vive com seus pais e sua irmã, Zahra. Um dia ele perde o único par de sapatos da irmã e, tentando evitar a bronca dos pais, passa a dividir seu próprio par de sapatos com ela, com ambos revezando-o. Enquanto isso, Ali treina para obter uma boa colocação em uma corrida que será realizada, pois se terminar em 3º lugar ganhará um par de sapatos.;1997-08-01;['Drama', 'Família'];180000;925402;2.0759;7.9;650;fa;['IR'];['Kanoon'];89;[];[];;1997;False
223706;O Menino e o Mundo;O Menino e o Mundo;Cuca é um menino que vive em um mundo distante, numa pequena aldeia no interior de seu mítico país. Certo dia, ele vê seu pai partir em busca de trabalho, embarcando em um trem rumo à desconhecida capital. As semanas que se seguem são de angústia e lembranças confusas. Até que, numa determinada noite, uma lufada de vento arromba a janela do quarto e carrega o menino para um lugar distante e mágico.;2014-01-17;['Animação', 'Aventura', 'Família'];0;121000;0.8879;7.4;238;pt;['BR'];['Filme de Papel'];80;[];[];Alguns sonhos sobrevivem...;2014;True
150540;Divertida Mente;Inside Out;Quando Riley, de 11 anos, se muda para uma nova cidade, suas Emoções - Alegria, Medo, Raiva, Nojinho e Tristeza trabalham juntas para ajudá-la na transição. Porém, uma série de eventos faz com que Alegria e Tristeza se envolvam em uma perigosa aventura que virará o mundo de Riley de cabeça para baixo.;2015-06-17;['Animação', 'Família', 'Aventura', 'Drama', 'Comédia'];175000000;857611174;22.4096;7.911;22512;en;['US'];['Pixar', 'Walt Disney Pictures'];95;[];[];Conheça as pequenas vozes dentro da sua cabeça.;2015;False
291270;Anomalisa;Anomalisa;Michael Stone é um palestrante motivacional que acaba de chegar à cidade de Connecticut. Lá, ele conhece Lisa, que transforma a sua vida.;2015-12-30;['Animação', 'Drama', 'Romance', 'Comédia'];8000000;5700000;1.6876;7.103;1733;en;['US'];['Starburns Industries', 'Snoot Entertainment'];90;[];[];O Filme mais humano do ano.;2015;False
263109;Shaun, o Carneiro: O Filme;Shaun the Sheep Movie;Shaun é um carneiro que, um belo dia, resolve tirar um dia de folga com os outros animais, para sair da rotina da fazenda. Só que, acidentalmente, ele acaba mandando o carinhoso fazendeiro para a cidade grande, onde o homem perde a memória. Os animais, então, comandados por shaun, vão aprontar altas confusões no caos urbano para trazer o dono de volta para casa.;2015-02-05;['Família', 'Animação', 'Comédia', 'Aventura'];25000000;106209378;3.2945;6.956;1416;en;['GB', 'FR'];['StudioCanal', 'Aardman', 'Anton Capital Entertainment'];85;[];[];;2015;False
242828;As Memórias de Marnie;思い出のマーニー;Anna é uma menina de 12 anos, filha de pais adotivos, sempre muito solitária e não exatamente feliz. Um belo dia, em um castelo numa ilha isolada, ela conhece Marnie. A menina loira de vestido branco se torna a grande e única amiga de Anna, mas ela descobrirá que Marnie não é exatamente quem parece ser.;2014-07-19;['Animação', 'Drama', 'Família', 'Mistério'];0;34949567;5.1046;7.933;1843;ja;['JP'];['Studio Ghibli', 'Hakuhodo DY Media Partners', 'KDDI', 'Nippon Television Network Corporation', 'TOHO', 'dentsu', 'The Walt Disney Company (Japan)', 'Mitsubishi'];104;[];[];Prometa que permaneceremos um segredo para sempre.;2014;False
1000837;Ainda Estou Aqui;Ainda Estou Aqui;No início da década de 1970, o Brasil enfrenta o endurecimento da ditadura militar. No Rio de Janeiro, a família Paiva – Rubens, Eunice e seus cinco filhos – vive à beira da praia em uma casa de portas abertas para os amigos. Um dia, Rubens Paiva é levado por militares à paisana e desaparece.;2024-09-19;['Drama', 'História'];1480000;35741532;13.5247;7.971;671;pt;['BR', 'FR'];['VideoFilmes', 'MACT Productions', 'RT Features', 'ARTE France Cinéma', 'Conspiração Filmes', 'Globoplay'];135;[];[];Quando a coragem de uma mãe desafia a tirania, a esperança renasce.;2024;True
1232827;A Garota da Agulha;Pigen med nålen;Uma jovem grávida e recém-desempregada luta para sobreviver em Copenhague após a Primeira Guerra Mundial. Ela é acolhida por uma mulher carismática para ajudar a comandar uma agência de adoção clandestina. As duas formam um vínculo inesperado, até que uma descoberta repentina muda tudo.;2024-09-06;['Drama', 'História'];0;470300;6.0889;7.583;229;da;['DK', 'PL', 'SE'];['Lava Films', 'Nordisk Film Sweden', 'EC1 Łódź', 'Film i Väst', 'Creative Alliance', 'Dolnośląskie Centrum Filmowe'];123;[];[];;2024;False
974950;Emilia Pérez;Emilia Pérez;No México, uma advogada recebe uma oferta inesperada para ajudar um temido chefe de cartel a se aposentar de seus negócios e desaparecer para sempre para que possa tornar a mulher que ela sempre sonhou em ser.;2024-08-21;['Drama', 'Thriller'];26000000;16302703;10.8637;6.634;1652;fr;['BE', 'FR', 'US', 'MX'];['Why Not Productions', 'Pathé', 'France 2 Cinéma', 'Page 114', 'Saint Laurent Productions', 'Saint Laurent', 'Library Pictures International', 'Logical Content Ventures', 'Les Films du Fleuve', 'The Veterans', 'Vixens', 'Casa Kafka Pictures', 'Pimienta Films'];132;[];[];A paixão tem um novo nome.;2024;False
1278263;A Semente do Fruto Sagrado;Les Graines du figuier sauvage;Um juiz investigativo do Tribunal Revolucionário de Teerã luta contra a desconfiança e a paranoia enquanto protestos políticos nacionais se intensificam e sua arma misteriosamente desaparece. Suspeitando do envolvimento de sua esposa e suas duas filhas, ele impõe medidas drásticas em casa, causando o aumento das tensões. Passo a passo, as normas sociais e as regras da vida familiar vão sendo suspensas.;2024-09-18;['Drama', 'Thriller', 'Crime'];3000000;6501810;8.6893;7.653;284;fr;['FR', 'DE'];['Parallel 45', 'Run Way Pictures', 'ARTE France Cinéma'];167;[];[];;2024;False
823219;Flow;Straume;Gato é um animal solitário, mas quando seu lar é destruído por uma grande inundação, ele encontra refúgio em um barco habitado por diversas espécies, tendo que se juntar a elas apesar das diferenças.;2024-08-29;['Animação', 'Fantasia', 'Aventura'];3700000;17660107;47.3825;8.181;1970;lv;['LV', 'BE', 'FR'];['Dream Well Studio', 'Sacrebleu Productions', 'Take Five', 'ARTE France Cinéma', 'RTBF'];85;[];[];Compartilhe a beleza da união.;2024;False
